133	20												
1	45												
1	4	16	31	42	109								
2	2	30	120										
3	5	18	69	97	104	122							
4	2	23	36										
5	1	86											
6	3	2	26	87									
7	1	24											
8	4	47	91	114	125								
9	1	17											
10	4	40	51	70	126								
11	1	94											
12	9	14	35	45	46	75	84	85	96	124			
13	3	55	61	82									
14	7	39	63	74	77	93	119	131					
15	3	12	54	56									
16	6	7	15	34	53	58	78						
17	3	98	102	130									
18	2	6	107										
19	1	50											
20	2	38	95										
21	4	13	92	101	118								
22	1	57											
23	4	20	28	41	72								
24	2	48	89										
25	1	11											
26	6	65	81	99	103	105	123						
27	1	1											
28	1	64											
29	3	83	90	132									
30	1	9											
31	3	19	52	66									
32	4	29	44	60	76								
33	4	32	33	68	117								
34	1	133											
35	2	110	115										
36	6	21	37	71	73	106	111						
37	2	79	108										
38	3	49	59	67									
39	1	80											
40	2	121	129										
41	3	8	88	113									
42	4	22	25	62	116								
43	1	43											
44	3	27	112	127									
45	6	3	4	5	10	100	128						
2	45												
1	4	4	34	64	105								
2	2	27	121										
3	3	8	17	133									
4	5	21	55	66	67	117							
5	3	5	9	122									
6	6	53	62	107	113	125	130						
7	1	22											
8	1	87											
9	2	20	48										
10	1	94											
11	2	7	77										
12	2	25	58										
13	5	11	42	52	100	109							
14	5	31	47	51	59	104							
15	4	44	95	102	123								
16	2	26	49										
17	2	40	132										
18	1	41											
19	11	12	35	63	72	92	97	101	114	118	126	128	
20	2	73	83										
21	2	24	120										
22	3	15	50	82									
23	5	1	33	37	39	80							
24	1	99											
25	2	6	103										
26	3	43	54	68									
27	5	13	36	112	116	129							
28	2	45	60										
29	2	57	78										
30	1	108											
31	1	75											
32	4	18	69	88	98								
33	6	14	84	85	110	124	131						
34	3	71	96	119									
35	1	16											
36	1	38											
37	5	2	56	65	70	90							
38	6	19	23	61	76	106	115						
39	3	46	86	89									
40	1	81											
41	2	28	111										
42	2	3	79										
43	2	30	127										
44	4	32	74	91	93								
45	2	10	29										
3	45												
1	3	35	76	131									
2	2	24	42										
3	4	26	28	111	130								
4	4	27	34	93	94								
5	2	19	110										
6	2	21	59										
7	4	61	67	78	100								
8	2	11	69										
9	3	57	77	95									
10	3	32	85	133									
11	1	86											
12	4	14	31	124	128								
13	3	15	29	52									
14	3	39	43	81									
15	4	5	10	36	90								
16	1	97											
17	5	3	63	74	103	112							
18	1	109											
19	3	12	48	54									
20	4	8	20	49	126								
21	3	50	87	125									
22	2	71	106										
23	1	44											
24	2	33	55										
25	2	45	105										
26	4	40	62	66	68								
27	2	88	127										
28	3	64	70	104									
29	4	18	89	114	116								
30	3	58	92	132									
31	6	7	41	72	82	101	117						
32	2	9	53										
33	7	4	6	80	83	99	118	129					
34	3	84	98	123									
35	2	47	73										
36	3	17	38	113									
37	4	16	37	65	115								
38	1	51											
39	3	56	79	102									
40	3	13	75	91									
41	3	1	107	108									
42	2	23	25										
43	4	22	60	121	122								
44	4	46	96	119	120								
45	2	2	30										
4	45												
1	4	110	119	120	128								
2	2	85	86										
3	5	34	36	100	103	107							
4	3	55	58	129									
5	1	97											
6	3	39	59	70									
7	1	25											
8	1	4											
9	2	22	49										
10	6	5	20	51	66	87	109						
11	1	108											
12	5	69	89	111	124	125							
13	1	2											
14	6	19	27	47	78	88	92						
15	1	90											
16	1	26											
17	2	7	98										
18	5	12	37	81	95	130							
19	4	18	31	83	99								
20	1	91											
21	3	3	21	84									
22	2	11	104										
23	3	15	33	42									
24	2	41	46										
25	3	67	79	116									
26	2	50	65										
27	3	57	72	94									
28	4	6	38	73	126								
29	3	9	53	131									
30	3	10	56	77									
31	3	82	115	117									
32	1	52											
33	1	102											
34	7	1	23	29	60	62	76	118					
35	2	28	63										
36	6	13	24	30	64	68	132						
37	1	35											
38	4	45	54	121	133								
39	3	32	43	71									
40	1	17											
41	2	96	101										
42	2	44	74										
43	5	8	75	80	93	113							
44	8	40	48	61	106	114	122	123	127				
45	4	14	16	105	112								
5	45												
1	3	69	86	121									
2	5	31	33	44	78	122							
3	1	22											
4	2	5	72										
5	2	36	106										
6	3	47	49	125									
7	3	21	99	103									
8	4	12	15	116	124								
9	2	40	123										
10	5	3	25	52	59	68							
11	2	10	132										
12	5	29	56	58	113	119							
13	1	46											
14	1	28											
15	2	75	92										
16	5	9	30	38	67	79							
17	7	2	18	45	60	82	84	89					
18	2	104	109										
19	3	54	131	133									
20	1	117											
21	7	1	14	16	26	41	91	128					
22	1	11											
23	2	27	51										
24	1	130											
25	3	63	127	129									
26	1	19											
27	4	7	48	102	115								
28	2	35	55										
29	1	50											
30	5	17	57	65	80	111							
31	1	100											
32	2	32	90										
33	1	24											
34	8	6	23	62	85	96	101	105	114				
35	2	77	97										
36	2	34	71										
37	2	37	53										
38	6	39	61	73	81	108	126						
39	2	93	120										
40	5	42	83	87	88	95							
41	2	4	107										
42	3	74	94	110									
43	6	8	64	76	98	112	118						
44	2	20	66										
45	3	13	43	70									
6	45												
1	3	64	99	102									
2	4	3	81	108	133								
3	2	5	89										
4	3	12	54	130									
5	1	37											
6	5	20	55	59	65	105							
7	5	14	28	51	91	95							
8	3	30	79	121									
9	7	6	34	38	41	43	124	131					
10	2	18	123										
11	1	116											
12	3	71	73	107									
13	1	16											
14	1	120											
15	2	45	127										
16	1	1											
17	1	104											
18	3	13	47	118									
19	9	7	19	32	48	62	67	69	100	115			
20	3	31	44	103									
21	2	2	53										
22	2	84	85										
23	3	26	77	109									
24	2	24	87										
25	2	46	126										
26	6	8	23	72	75	80	119						
27	6	36	39	49	70	90	101						
28	5	27	58	74	86	96							
29	3	22	114	132									
30	2	9	50										
31	1	10											
32	1	122											
33	1	112											
34	3	42	125	129									
35	9	35	40	60	68	76	88	92	93	128			
36	7	17	25	29	33	57	61	106					
37	2	21	117										
38	2	66	82										
39	2	11	111										
40	2	52	63										
41	3	94	110	113									
42	4	4	15	56	98								
43	1	97											
44	1	78											
45	1	83											
7	45												
1	3	19	59	69									
2	2	9	20										
3	1	52											
4	2	41	89										
5	1	6											
6	3	40	53	108									
7	1	23											
8	2	86	91										
9	3	65	101	107									
10	4	12	87	99	105								
11	5	67	68	100	120	131							
12	2	54	124										
13	3	32	94	127									
14	2	17	34										
15	7	36	43	44	71	73	75	122					
16	1	129											
17	2	27	64										
18	3	11	57	90									
19	1	66											
20	1	116											
21	5	3	16	22	81	130							
22	1	26											
23	2	33	82										
24	2	50	72										
25	6	2	18	29	30	102	123						
26	3	28	31	37									
27	4	58	113	117	118								
28	3	21	92	126									
29	4	5	39	55	112								
30	2	60	79										
31	3	84	96	111									
32	4	14	46	85	88								
33	2	76	115										
34	1	114											
35	4	13	35	70	119								
36	4	1	49	83	95								
37	3	4	10	78									
38	2	15	38										
39	6	51	61	63	104	109	121						
40	2	8	42										
41	1	106											
42	4	7	25	48	125								
43	3	24	56	103									
44	2	47	98										
45	11	45	62	74	77	80	93	97	110	128	132	133	
8	45												
1	1	95											
2	3	47	55	85									
3	4	17	30	93	100								
4	1	16											
5	4	12	58	103	116								
6	1	120											
7	3	11	22	131									
8	3	98	130	132									
9	2	65	107										
10	4	46	80	104	111								
11	3	20	48	122									
12	6	36	75	76	92	101	108						
13	3	52	84	124									
14	5	4	14	28	106	126							
15	1	82											
16	2	10	73										
17	1	61											
18	4	7	25	26	79								
19	1	38											
20	1	129											
21	2	24	56										
22	1	21											
23	4	54	67	88	115								
24	4	81	114	123	125								
25	2	31	113										
26	5	9	89	97	121	127							
27	4	2	63	64	78								
28	4	3	44	96	133								
29	4	13	33	35	119								
30	3	8	68	105									
31	3	15	51	90									
32	2	66	72										
33	3	5	34	117									
34	3	18	32	62									
35	2	27	60										
