133	20																														
1	25																														
1	3	61	113	115																											
2	1	42																													
3	3	39	66	102																											
4	12	8	23	36	49	68	70	80	86	93	96	110	132																		
5	3	35	43	57																											
6	5	5	15	20	33	106																									
7	7	1	16	44	65	117	127	129																							
8	8	7	25	52	59	89	91	100	108																						
9	5	10	55	72	121	125																									
10	7	18	62	81	84	85	99	131																							
11	2	51	104																												
12	9	12	21	31	32	54	90	105	123	128																					
13	13	6	24	47	58	60	74	75	83	88	92	94	118	126																	
14	8	9	11	19	28	30	38	79	95																						
15	5	27	46	76	101	120																									
16	8	41	48	50	69	77	97	107	112																						
17	3	45	82	122																											
18	2	34	78																												
19	1	98																													
20	1	3																													
21	2	13	56																												
22	3	109	116	119																											
23	1	29																													
24	12	4	14	22	40	53	64	71	73	103	114	124	133																		
25	9	2	17	26	37	63	67	87	111	130																					
2	25																														
1	2	41	85																												
2	5	39	46	64	65	87																									
3	8	33	49	60	70	78	86	92	98																						
4	2	17	102																												
5	4	14	18	22	121																										
6	4	57	58	75	83																										
7	7	26	38	56	79	108	112	130																							
8	6	5	11	12	28	37	109																								
9	5	45	62	77	113	114																									
10	7	50	66	71	72	99	120	129																							
11	3	29	93	125																											
12	8	8	15	30	34	74	95	100	122																						
13	2	13	118																												
14	5	44	53	69	80	90																									
15	3	31	42	127																											
16	5	25	47	94	110	131																									
17	6	21	23	27	35	51	119																								
18	11	1	6	16	52	54	59	68	101	104	106	107																			
19	4	4	24	116	123																										
20	5	19	32	82	84	105																									
21	14	7	10	43	48	55	61	67	76	88	89	115	126	128	132																
22	7	20	36	40	63	103	111	117																							
23	4	2	73	81	133																										
24	2	91	96																												
25	4	3	9	97	124																										
3	25																														
1	2	59	105																												
2	11	6	21	35	46	69	74	80	81	85	108	110																			
3	6	24	36	41	44	96	118																								
4	6	8	43	49	52	62	115																								
5	3	28	84	131																											
6	7	10	48	57	83	93	95	101																							
7	5	34	65	87	113	122																									
8	8	9	15	16	31	45	64	107	119																						
9	4	42	82	112	129																										
10	7	5	22	23	33	68	104	126																							
11	1	2																													
12	2	12	89																												
13	2	66	75																												
14	7	1	50	54	63	121	128	132																							
15	3	40	72	99																											
16	7	30	47	97	106	111	117	125																							
17	4	3	7	58	71																										
18	5	4	11	78	98	116																									
19	8	17	26	37	38	56	67	79	130																						
20	4	20	55	61	77																										
21	7	13	29	51	60	94	123	133																							
22	7	25	27	39	70	100	102	114																							
23	6	32	73	90	91	103	120																								
24	6	19	86	88	92	109	127																								
