133	20																											
1	30																											
1	6	5	15	16	55	57	129																					
2	2	112	127																									
3	11	6	23	24	39	72	74	88	90	94	118	120																
4	8	1	20	50	65	97	104	117	121																			
5	2	38	116																									
6	2	47	48																									
7	1	37																										
8	8	7	9	56	67	78	79	95	100																			
9	4	14	43	84	102																							
10	5	51	58	96	114	128																						
11	4	26	30	34	63																							
12	2	2	52																									
13	6	10	44	45	69	82	107																					
14	4	12	75	103	105																							
15	3	19	29	91																								
16	5	3	28	59	89	98																						
17	4	21	22	32	81																							
18	2	70	131																									
19	3	25	27	106																								
20	3	62	85	87																								
21	6	18	33	42	64	77	113																					
22	6	4	73	99	123	124	133																					
23	3	35	66	109																								
24	8	36	49	76	80	93	101	110	126																			
25	3	54	71	115																								
26	5	11	17	108	111	130																						
27	2	31	41																									
28	3	53	122	125																								
29	10	13	40	46	60	68	83	86	92	119	132																	
30	2	8	61																									
2	30																											
1	7	7	28	34	37	59	78	89																				
2	10	13	21	32	35	43	64	84	99	101	124																	
3	2	67	100																									
4	5	2	3	26	38	95																						
5	5	15	61	122	123	131																						
6	2	17	70																									
7	6	60	74	76	116	118	126																					
8	8	29	31	41	50	55	107	109	129																			
9	2	14	86																									
10	4	8	110	119	132																							
11	2	49	58																									
12	3	24	33	81																								
13	8	12	20	23	48	65	97	104	125																			
14	1	130																										
15	9	22	44	66	71	77	103	105	113	117																		
16	4	40	51	68	90																							
17	4	5	18	80	121																							
18	2	1	16																									
19	5	6	27	39	46	88																						
20	10	4	36	54	57	62	69	73	82	112	133																	
21	1	120																										
22	1	63																										
23	2	25	98																									
24	6	47	72	75	83	96	114																					
25	1	127																										
26	2	53	106																									
27	6	10	42	45	85	102	115																					
28	4	92	93	94	128																							
29	6	9	19	56	79	91	111																					
30	5	11	30	52	87	108																						
3	30																											
1	2	44	110																									
2	1	4																										
3	4	2	40	121	132																							
4	3	22	50	102																								
5	4	10	48	59	81																							
6	2	18	73																									
7	4	9	13	89	112																							
8	1	69																										
9	2	52	91																									
10	7	12	32	54	64	84	109	123																				
11	4	14	30	62	71																							
12	3	5	11	103																								
13	9	6	23	46	47	51	74	93	94	126																		
14	1	1																										
15	8	7	19	28	63	67	78	79	108																			
16	7	34	57	68	95	104	106	133																				
17	9	20	24	33	53	55	66	97	117	122																		
18	3	31	41	42																								
19	5	56	65	86	100	120																						
20	1	116																										
21	3	17	77	101																								
22	4	61	76	113	115																							
23	1	49																										
24	17	8	27	35	39	58	60	72	75	80	88	90	92	96	114	118	119	128										
25	5	3	26	82	98	129																						
26	7	37	43	45	85	99	105	125																				
27	4	70	107	127	130																							
28	5	16	25	29	38	124																						
29	2	36	87																									
30	5	15	21	83	111	131																						
4	30																											
1	6	8	23	75	83	88	101																					
2	2	29	59																									
3	3	14	58	99																								
4	4	30	87	89	116																							
5	7	5	19	20	49	51	84	100																				
6	4	16	18	112	130																							
7	7	36	60	68	70	76	94	132																				
8	4	34	38	98	111																							
9	3	2	78	79																								
10	2	1	114																									
11	7	11	43	66	81	123	125	133																				
12	3	61	85	91																								
13	2	28	71																									
14	2	90	96																									
15	7	45	48	65	74	109	113	129																				
16	3	52	64	86																								
17	4	82	95	106	127																							
18	3	73	102	107																								
19	5	9	50	53	54	67																						
20	9	3	10	15	26	37	62	77	105	115																		
21	2	41	97																									
22	7	21	22	39	104	108	117	131																				
23	5	32	35	55	69	121																						
24	6	25	27	31	57	63	122																					
25	6	13	24	40	47	120	128																					
26	1	42																										
27	4	4	44	103	124																							
28	4	7	12	17	33																							
29	10	6	46	72	80	92	93	110	118	119	126																	
30	1	56																										
5	30																											
1	3	30	77	124																								
2	11	13	23	36	47	49	51	58	76	88	119	132																
3	3	33	95	99																								
4	5	19	31	39	107	123																						
5	1	131																										
6	5	21	56	64	78	105																						
7	5	1	3	17	79	111																						
8	4	8	41	59	125																							
9	5	50	52	92	116	117																						
10	7	20	37	38	44	55	66	98																				
11	3	12	71	84																								
12	4	5	16	102	122																							
13	1	89																										
14	4	18	62	63	113																							
15	3	10	60	82																								
16	4	15	29	45	65																							
17	4	14	22	103	127																							
18	6	2	42	61	81	91	108																					
19	10	27	35	46	70	72	75	86	114	118	126																	
20	5	7	69	97	121	129																						
21	2	40	83																									
22	3	90	93	104																								
23	1	87																										
24	2	100	101																									
25	4	48	67	80	96																							
26	1	6																										
27	4	11	57	109	130																							
28	6	9	34	53	54	74	115																					
29	11	4	25	26	28	32	43	73	85	106	112	133																
30	6	24	68	94	110	120	128																					
6	30																											
1	4	10	28	97	112																							
2	2	9	62																									
3	3	34	38	111																								
4	1	60																										
5	6	2	30	37	79	87	89																					
6	6	52	67	91	100	116	130																					
7	2	1	45																									
8	1	102																										
9	2	8	98																									
10	5	19	25	26	56	108																						
11	16	3	11	16	20	29	42	53	61	66	106	107	109	114	121	127	129											
12	4	5	48	70	117																							
13	3	32	105	115																								
14	2	44	84																									
15	2	23	104																									
16	2	17	78																									
17	2	73	125																									
18	8	12	21	31	43	54	85	122	123																			
19	4	18	64	69	133																							
20	5	15	33	65	103	131																						
21	1	77																										
22	2	41	113																									
23	3	4	71	82																								
24	21	13	24	35	36	39	40	46	49	58	74	76	80	83	86	88	90	92	94	96	118	120						
25	3	22	50	124																								
26	13	6	27	47	51	68	75	93	101	110	119	126	128	132														
27	4	14	57	59	72																							
28	3	55	81	99																								
29	1	7																										
30	2	63	95																									
7	30																											
1	2	12	81																									
2	5	36	46	71	75	112																						
3	2	25	131																									
4	2	1	65																									
5	6	18	24	35	57	62	86																					
6	7	10	22	32	41	87	98	113																				
7	7	11	19	38	39	63	79	95																				
8	2	16	102																									
9	3	37	55	110																								
10	5	53	82	89	108	121																						
11	6	21	67	76	105	111	116																					
12	5	14	45	59	64	106																						
13	4	51	56	77	122																							
14	6	7	30	61	100	124	128																					
15	9	44	48	50	58	91	97	117	125	127																		
16	1	104																										
17	4	5	6	60	129																							
18	9	13	28	80	83	92	96	119	130	132																		
19	4	20	27	101	118																							
20	3	15	84	115																								
21	2	26	42																									
22	3	2	9	52																								
23	3	72	73	85																								
24	2	33	126																									
25	5	23	40	70	78	114																						
26	3	66	99	107																								
27	3	4	43	103																								
28	5	29	54	94	123	133																						
29	7	8	17	31	68	69	93	120																				
30	8	3	34	47	49	74	88	90	109																			
8	30																											
1	4	13	27	75	132																							
2	3	63	94	127																								
3	3	30	45	109																								
4	12	31	50	55	57	65	66	77	97	106	112	121	129															
5	25	2	3	7	9	11	17	19	25	26	28	34	37	38	52	56	59	67	78	89	95	98	100	111	116	130		
6	3	70	80	105																								
7	2	64	84																									
8	2	69	107																									
9	6	4	14	40	51	124	131																					
10	5	41	68	76	119	128																						
11	2	20	86																									
12	3	22	32	83																								
13	6	6	24	72	74	101	126																					
14	6	12	43	47	49	54	81																					
15	2	23	125																									
16	2	90	92																									
17	8	21	62	71	73	96	115	118	123																			
18	1	87																										
19	1	117																										
20	3	35	85	88																								
21	2	18	99																									
22	1	91																										
23	5	29	44	53	79	82																						
24	4	39	46	58	60																							
25	2	8	114																									
26	3	93	102	103																								
27	10	1	5	10	15	33	42	48	61	104	113																	
28	3	16	108	133																								
29	1	36																										
30	3	110	120	122																								
9	30																											
1	4	36	72	90	115																							
2	3	21	76	113																								
3	3	23	82	97																								
4	5	1	25	81	103	120																						
5	3	12	14	105																								
6	3	35	40	102																								
7	2	107	132																									
8	6	6	20	32	38	43	84																					
9	8	3	11	33	41	52	78	80	101																			
10	4	4	5	8	34																							
11	9	22	37	42	63	66	85	95	117	124																		
12	8	2	46	53	64	74	88	112	118																			
13	3	77	93	123																								
14	4	28	56	79	108																							
15	6	10	47	75	91	116	131																					
16	7	24	39	45	49	59	62	119																				
17	4	54	67	87	126																							
18	2	7	129																									
19	1	99																										
20	3	61	83	128																								
21	5	60	65	68	69	86																						
22	2	127	133																									
23	8	13	29	58	70	89	92	96	110																			
24	1	111																										
25	2	9	57																									
26	8	15	26	48	51	71	94	98	104																			
27	9	16	17	31	50	55	106	109	121	125																		
28	5	27	30	44	73	114																						
29	3	18	19	130																								
30	2	100	122																									
10	30																											
1	5	6	30	35	51	114																						
2	5	37	60	86	94	130																						
3	3	16	45	121																								
4	8	1	42	50	82	106	109	112	127																			
5	3	17	18	104																								
6	9	20	29	31	44	61	65	77	97	107																		
7	2	81	116																									
8	2	101	111																									
9	2	98	124																									
10	2	63	120																									
11	8	4	21	32	62	71	73	84	115																			
12	4	2	9	48	59																							
13	1	66																										
14	1	95																										
15	10	12	23	40	49	72	74	93	110	118	128																	
16	9	8	13	68	75	80	88	90	96	126																		
17	3	10	119	129																								
18	1	39																										
19	3	15	41	113																								
20	7	14	28	99	100	105	123	133																				
21	8	7	19	25	26	38	47	92	108																			
22	3	3	11	22																								
23	1	117																										
24	5	24	27	58	89	103																						
25	4	52	56	67	85																							
26	10	5	33	53	55	57	64	69	102	122	125																	
27	4	34	78	79	87																							
28	6	36	46	70	76	83	132																					
29	2	54	91																									
30	2	43	131																									
11	30																											
1	3	46	84	88																								
2	6	28	49	85	118	123	131																					
3	1	57																										
4	4	20	23	29	92																							
5	5	8	42	86	90	105																						
6	3	58	68	124																								
7	3	6	7	22																								
8	7	26	34	38	78	95	100	130																				
9	7	66	73	76	81	98	115	132																				
10	1	111																										
11	3	4	47	54																								
12	2	67	108																									
13	6	36	40	62	71	96	103																					
14	7	12	14	21	93	99	110	114																				
15	2	32	102																									
16	5	2	56	63	79	91																						
17	3	17	25	30																								
18	1	52																										
19	8	16	48	55	77	82	104	107	125																			
20	6	10	33	70	97	127	129																					
